min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.1326,0.3938,0.26632948717948673,0.2844,0.07560473039004376,0.1339625,0.374375,0.13715,0.362,2004.0,150.0,8.0
0.1326,0.396,0.2585967032967031,0.2743,0.07438521573126633,0.1338,0.3690375,0.13645,0.35885,2004.0,150.0,9.0
0.1326,0.399,0.2536155677655678,0.2673,0.07353671837837572,0.1337,0.3675125,0.136125,0.35707500000000003,2004.0,150.0,10.0
0.1326,0.4014,0.2508461538461541,0.26285000000000003,0.07312016999713085,0.1337,0.36745,0.136025,0.35635,2004.0,150.0,11.0
0.1326,0.4028,0.24974853479853468,0.2606,0.0729957357536467,0.13362500000000002,0.36807500000000004,0.136025,0.3563,2004.0,150.0,12.0
0.1326,0.4023,0.25006959706959714,0.26134999999999997,0.0730334501131754,0.1337,0.367775,0.136025,0.3563,2004.0,150.0,13.0
0.1326,0.4004,0.2518655677655679,0.2643,0.07326228303157194,0.1337,0.367375,0.136025,0.3568,2004.0,150.0,14.0
0.1326,0.3975,0.25556648351648326,0.27065,0.07386238924045788,0.1338,0.36788750000000003,0.1362,0.3577,2004.0,150.0,15.0
0.1326,0.3948,0.2617247252747255,0.278,0.07489825240435946,0.1339,0.370975,0.1367,0.36014999999999997,2004.0,150.0,16.0
0.1326,0.3933,0.27089853479853465,0.29159999999999997,0.0761782438881729,0.13412500000000002,0.37495,0.137475,0.364225,2004.0,150.0,17.0
0.1326,0.3992,0.28341575091575083,0.309,0.07695335993096372,0.1345625,0.379975,0.139075,0.3708,2004.0,150.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,150.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,151.0,0.0
